순위,가수이름,노래제목
1,NewJeans,Super Shy
2,정국,Seven (feat. Latto) - Clean Ver.
3,NewJeans,ETA
4,(여자)아이들,퀸카 (Queencard)
5,IVE (아이브),I AM
6,박재정,헤어지자 말해요
7,aespa,Spicy
8,Lauv,Steal The Show (From “엘리멘탈”)
9,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
10,NewJeans,New Jeans
11,임영웅,모래 알갱이
12,NewJeans,Hype boy
13,임영웅,사랑은 늘 도망가
14,IVE (아이브),Kitsch
15,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
16,임영웅,우리들의 블루스
17,정국,Still With You
18,우디 (Woody),사막에서 꽃을 피우듯
19,NewJeans,Ditto
20,임영웅,다시 만날 수 있을까
21,임영웅,무지개
22,NewJeans,Cool With You
23,임영웅,이제 나만 믿어요
24,임영웅,London Boy
25,임영웅,아버지
26,임영웅,Polaroid
27,NewJeans,Attention
28,방탄소년단,Dynamite
29,NewJeans,OMG
30,임영웅,인생찬가
31,Paul Blanco,Summer (Feat. BE’O (비오))
32,임영웅,A bientot
33,임영웅,손이 참 곱던 그대
34,IVE (아이브),After LIKE
35,임영웅,사랑해 진짜
36,세븐틴 (SEVENTEEN),손오공
37,NCT DREAM,ISTJ
38,지수 (JISOO),꽃
39,임영웅,연애편지
40,IVE (아이브),LOVE DIVE
41,방탄소년단,Take Two
42,V,Love Me Again
43,윤하 (YOUNHA),사건의 지평선
44,NCT DREAM,Candy
45,Charlie Puth,I Don't Think That I Like Her
46,임영웅,보금자리
47,방탄소년단,봄날
48,지민,Like Crazy
49,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
50,Charlie Puth,Dangerously
51,Agust D,사람 Pt.2 (feat. 아이유)
52,NewJeans,ASAP
53,방탄소년단,Butter
54,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
55,이무진,잠깐 시간 될까
56,STAYC(스테이씨),Teddy Bear
57,NCT DREAM,Broken Melodies
58,DK(디셈버),심(心)
59,FIFTY FIFTY,Cupid
60,임한별,사랑하지 않아서 그랬어
61,전소미,Fast Forward
62,탑현,나에게 그대만이
63,LE SSERAFIM (르세라핌),ANTIFRAGILE
64,ZEROBASEONE (제로베이스원),In Bloom
65,멜로망스,사랑인가 봐
66,허각,물론
67,(여자)아이들,Allergy
68,성시경,너의 모든 순간
69,V,Rainy Days
70,오마이걸 (OH MY GIRL),여름이 들려 (Summer Comes)
71,방탄소년단,Permission to Dance
72,"j-hope, J. Cole",on the street (with J. Cole)
73,지아,사랑..그게 뭔데
74,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
75,NCT DREAM,Yogurt Shake
76,케이시 (Kassy),사실말야내가말야그게그러니까말이야
77,ITZY (있지),CAKE
78,경서,첫 키스에 내 심장은 120BPM
79,"The Kid LAROI, Justin Bieber",STAY
80,김호중,그중에 그대를 만나
81,NCT DREAM,파랑 (Blue Wave)
82,제이세라,사랑의 바보
83,우효,민들레 (single ver.)
84,김민석 (멜로망스),취중고백
85,(여자)아이들,TOMBOY
86,#안녕,해요 (2022)
87,임재현,Heaven(2023)
88,Charlie Puth,That's Hilarious
89,"경서예지, 전건호",다정히 내 이름을 부르면
90,(여자)아이들,Nxde
91,던 (DAWN),빛이 나는 너에게
92,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
93,imase,NIGHT DANCER
94,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
95,IVE (아이브),I WANT
96,NewJeans,Get Up
97,테이,Monologue
98,NCT DREAM,Like We Just Met
99,더보이즈 (THE BOYZ),LIP GLOSS
100,aespa,Thirsty
